# detector_id x y z
0 0.000000 290.559998 109.993980
1 -4.388396 290.526855 109.993980
2 -8.775792 290.427429 109.993980
3 -13.161185 290.261780 109.993980
4 -17.543575 290.029877 109.993980
5 -21.921965 289.731842 109.993980
6 -26.295353 289.367706 109.993980
7 -30.662743 288.937561 109.993980
8 -35.023136 288.441498 109.993980
9 -39.375542 287.879639 109.993980
10 -43.718967 287.252106 109.993980
11 -48.052414 286.559021 109.993980
12 -52.374905 285.800598 109.993980
13 -56.685444 284.976959 109.993980
14 -60.983051 284.088318 109.993980
15 -65.266747 283.134888 109.993980
16 -69.535561 282.116852 109.993980
17 -73.788506 281.034454 109.993980
18 -78.024620 279.887970 109.993980
19 -82.242935 278.677612 109.993980
20 -86.442490 277.403687 109.993980
21 -90.622322 276.066498 109.993980
22 -94.781479 274.666321 109.993980
23 -98.919022 273.203491 109.993980
24 -103.033997 271.678314 109.993980
25 -107.125465 270.091187 109.993980
26 -111.192497 268.442444 109.993980
27 -115.234161 266.732452 109.993980
28 -119.249542 264.961609 109.993980
29 -123.237717 263.130341 109.993980
30 -127.197784 261.239044 109.993980
31 -131.128830 259.288147 109.993980
32 -135.029968 257.278107 109.993980
33 -138.900299 255.209366 109.993980
34 -142.738937 253.082413 109.993980
35 -146.545029 250.897720 109.993980
36 -150.317673 248.655807 109.993980
37 -154.056030 246.357162 109.993980
38 -157.759262 244.002319 109.993980
39 -161.426483 241.591812 109.993980
40 -165.056885 239.126190 109.993980
41 -168.649643 236.606018 109.993980
42 -172.203918 234.031876 109.993980
43 -175.718918 231.404343 109.993980
44 -179.193832 228.724030 109.993980
45 -182.627869 225.991531 109.993980
46 -186.020248 223.207489 109.993980
47 -189.370178 220.372513 109.993980
48 -192.676910 217.487274 109.993980
49 -195.939697 214.552429 109.993980
50 -199.157791 211.568634 109.993980
51 -202.330444 208.536575 109.993980
52 -205.456940 205.456940 109.993980
53 -208.536575 202.330444 109.993980
54 -211.568634 199.157791 109.993980
55 -214.552429 195.939697 109.993980
56 -217.487274 192.676910 109.993980
57 -220.372513 189.370178 109.993980
58 -223.207489 186.020248 109.993980
59 -225.991531 182.627869 109.993980
60 -228.724030 179.193832 109.993980
61 -231.404343 175.718918 109.993980
62 -234.031876 172.203918 109.993980
63 -236.606018 168.649643 109.993980
64 -239.126190 165.056885 109.993980
65 -241.591812 161.426483 109.993980
66 -244.002319 157.759262 109.993980
67 -246.357162 154.056030 109.993980
68 -248.655807 150.317673 109.993980
69 -250.897720 146.545029 109.993980
70 -253.082413 142.738937 109.993980
71 -255.209366 138.900299 109.993980
72 -257.278107 135.029968 109.993980
73 -259.288147 131.128830 109.993980
74 -261.239044 127.197784 109.993980
75 -263.130341 123.237717 109.993980
76 -264.961609 119.249542 109.993980
77 -266.732452 115.234161 109.993980
78 -268.442444 111.192497 109.993980
79 -270.091187 107.125465 109.993980
80 -271.678314 103.033997 109.993980
81 -273.203491 98.919022 109.993980
82 -274.666321 94.781479 109.993980
83 -276.066498 90.622322 109.993980
84 -277.403687 86.442490 109.993980
85 -278.677612 82.242935 109.993980
86 -279.887970 78.024620 109.993980
87 -281.034454 73.788506 109.993980
88 -282.116852 69.535561 109.993980
89 -283.134888 65.266747 109.993980
90 -284.088318 60.983051 109.993980
91 -284.976959 56.685444 109.993980
92 -285.800598 52.374905 109.993980
93 -286.559021 48.052414 109.993980
94 -287.252106 43.718967 109.993980
95 -287.879639 39.375542 109.993980
96 -288.441498 35.023136 109.993980
97 -288.937561 30.662743 109.993980
98 -289.367706 26.295353 109.993980
99 -289.731842 21.921965 109.993980
100 -290.029877 17.543575 109.993980
101 -290.261780 13.161185 109.993980
102 -290.427429 8.775792 109.993980
103 -290.526855 4.388396 109.993980
104 -290.559998 0.000000 109.993980
105 -290.526855 -4.388396 109.993980
106 -290.427429 -8.775792 109.993980
107 -290.261780 -13.161185 109.993980
108 -290.029877 -17.543575 109.993980
109 -289.731842 -21.921965 109.993980
110 -289.367706 -26.295353 109.993980
111 -288.937561 -30.662743 109.993980
112 -288.441498 -35.023136 109.993980
113 -287.879639 -39.375542 109.993980
114 -287.252106 -43.718967 109.993980
115 -286.559021 -48.052414 109.993980
116 -285.800598 -52.374905 109.993980
117 -284.976959 -56.685444 109.993980
118 -284.088318 -60.983051 109.993980
119 -283.134888 -65.266747 109.993980
120 -282.116852 -69.535561 109.993980
121 -281.034454 -73.788506 109.993980
122 -279.887970 -78.024620 109.993980
123 -278.677612 -82.242935 109.993980
124 -277.403687 -86.442490 109.993980
125 -276.066498 -90.622322 109.993980
126 -274.666321 -94.781479 109.993980
127 -273.203491 -98.919022 109.993980
128 -271.678314 -103.033997 109.993980
129 -270.091187 -107.125465 109.993980
130 -268.442444 -111.192497 109.993980
131 -266.732452 -115.234161 109.993980
132 -264.961609 -119.249542 109.993980
